thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome
53.7,108.0,3.6,-2.0,c1,2.0,NA,1
55.5,88.0,2.2,3.6,c3,3.0,0.0,1
49.400000000000006,68.0,0.4,1.4,c4,3.0,0.0,1
46.8,74.0,NA,-3.2,c3,5.0,1.0,0
49.5,105.0,0.6000000000000001,-7.1000000000000005,c4,2.0,1.0,0
36.7,28.0,-4.5,-5.300000000000001,c5,5.0,1.0,0
38.6,92.0,3.6,-7.4,c1,2.0,0.0,0
39.6,85.0,-0.1,-3.9,c3,2.0,0.0,0
42.2,122.0,4.3,NA,c4,2.0,0.0,1
53.400000000000006,125.0,6.800000000000001,8.0,c1,5.0,1.0,0
42.900000000000006,69.0,-2.8000000000000003,-4.7,c1,2.0,0.0,0
47.1,50.0,0.1,-4.1000000000000005,c1,1.0,0.0,0
NA,96.0,2.6,-2.3000000000000003,c4,2.0,1.0,1
47.3,133.0,2.4000000000000004,-1.5,c5,3.0,1.0,1
56.1,118.0,3.3000000000000003,3.9,c4,2.0,0.0,0
42.7,104.0,-1.9,-1.7000000000000002,c2,2.0,0.0,0
48.5,81.0,3.8,1.6,c3,NA,NA,0
42.6,NA,4.1000000000000005,4.6000000000000005,c1,4.0,0.0,1
47.400000000000006,55.0,2.1,0.2,c5,3.0,0.0,1
56.900000000000006,137.0,-3.3000000000000003,-10.2,c5,3.0,1.0,1
36.3,46.0,NA,-1.9,c2,5.0,0.0,0
53.6,53.0,0.3,1.2000000000000002,NA,4.0,0.0,1
52.1,165.0,3.9,-4.0,c5,4.0,1.0,1
45.400000000000006,96.0,4.800000000000001,1.0,c4,2.0,1.0,0
38.6,84.0,3.3000000000000003,0.8,c5,NA,0.0,1
50.7,51.0,0.7000000000000001,-5.4,c2,2.0,0.0,0
45.900000000000006,110.0,2.3000000000000003,-6.7,c1,NA,NA,0
52.0,127.0,4.4,-2.7,c2,1.0,0.0,1
50.3,95.0,-3.2,-12.1,c2,3.0,NA,0
63.0,146.0,4.5,4.9,c4,3.0,0.0,0
48.2,129.0,6.0,5.300000000000001,c1,3.0,0.0,0
NA,101.0,1.2000000000000002,-3.8,c3,2.0,0.0,0
51.6,44.0,3.5,-4.3,c4,2.0,1.0,0
51.900000000000006,72.0,0.9,4.1000000000000005,c1,2.0,0.0,1
61.0,164.0,7.0,6.300000000000001,c2,3.0,1.0,0
56.8,114.0,3.4000000000000004,-1.2000000000000002,c3,2.0,1.0,0
53.0,108.0,4.2,7.1000000000000005,c2,4.0,0.0,0
61.900000000000006,98.0,5.800000000000001,4.1000000000000005,c2,3.0,1.0,0
40.6,67.0,4.3,3.5,c3,1.0,1.0,0
45.0,124.0,0.5,-5.6000000000000005,c1,2.0,0.0,1
42.7,128.0,5.5,-3.2,c3,3.0,1.0,0
47.0,117.0,-2.5,-10.5,c4,3.0,1.0,0
39.1,97.0,2.9000000000000004,9.8,c1,2.0,0.0,0
55.2,126.0,4.4,-1.3,c1,2.0,NA,1
48.400000000000006,96.0,0.7000000000000001,-0.7000000000000001,c1,5.0,0.0,1
38.400000000000006,48.0,0.5,0.7000000000000001,c3,3.0,1.0,0
42.0,48.0,3.5,1.3,c2,2.0,0.0,0
52.7,140.0,-3.9,-5.7,c2,4.0,1.0,1
56.900000000000006,111.0,1.2000000000000002,-1.3,c3,2.0,1.0,0
66.10000000000001,140.0,-0.7000000000000001,-0.2,c2,2.0,1.0,0
73.5,145.0,-1.8,-7.6,c3,4.0,0.0,0
53.5,113.0,5.0,0.9,c4,5.0,NA,1
42.2,96.0,4.800000000000001,-7.2,c2,3.0,1.0,0
33.1,90.0,5.0,NA,c4,3.0,1.0,1
52.3,83.0,-0.9,-7.9,c2,2.0,1.0,0
43.7,121.0,2.4000000000000004,4.1000000000000005,c2,3.0,0.0,0
46.8,75.0,-2.7,-5.2,c1,4.0,1.0,0
45.3,99.0,3.0,3.9,c3,4.0,0.0,0
49.0,67.0,5.9,5.2,c3,1.0,1.0,0
58.7,110.0,-0.8,-1.2000000000000002,c4,1.0,0.0,1
51.400000000000006,NA,1.4,-4.4,c2,4.0,1.0,1
48.900000000000006,99.0,6.6000000000000005,4.5,c4,3.0,0.0,0
41.900000000000006,106.0,0.9,0.2,c1,5.0,0.0,1
36.8,80.0,5.800000000000001,12.8,c3,1.0,1.0,0
46.3,147.0,5.1000000000000005,1.4,c2,5.0,0.0,0
49.7,121.0,1.0,2.4000000000000004,c1,1.0,NA,1
64.3,118.0,-1.2000000000000002,-3.2,c2,1.0,1.0,0
51.2,100.0,2.5,-2.4000000000000004,c1,5.0,NA,1
NA,NA,4.2,5.800000000000001,c1,3.0,NA,0
46.2,113.0,5.1000000000000005,10.9,c2,2.0,1.0,0
40.7,51.0,4.1000000000000005,3.1,c5,3.0,NA,1
42.400000000000006,105.0,5.300000000000001,0.1,c4,2.0,0.0,0
44.400000000000006,58.0,-2.2,-1.5,c5,5.0,0.0,1
67.2,144.0,1.7000000000000002,1.0,c1,4.0,0.0,0
43.6,119.0,0.5,8.200000000000001,c1,4.0,1.0,0
56.900000000000006,120.0,3.8,4.9,c1,2.0,0.0,0
42.900000000000006,26.0,NA,-1.5,c3,1.0,0.0,0
57.6,65.0,1.7000000000000002,5.2,c5,4.0,1.0,1
53.2,121.0,2.1,3.5,c2,1.0,1.0,0
48.900000000000006,32.0,1.6,3.8,c2,1.0,1.0,0
49.8,116.0,3.5,3.4000000000000004,c1,3.0,1.0,1
44.900000000000006,118.0,3.2,5.5,c3,4.0,0.0,0
53.7,137.0,-0.7000000000000001,-0.4,c4,3.0,0.0,1
46.5,88.0,5.4,2.0,c3,3.0,1.0,0
40.3,96.0,8.4,6.300000000000001,c3,5.0,0.0,1
39.900000000000006,89.0,NA,3.5,c2,2.0,0.0,1
51.5,63.0,-2.3000000000000003,-2.2,c2,1.0,1.0,0
NA,142.0,5.6000000000000005,3.6,c2,2.0,NA,0
51.400000000000006,140.0,2.0,-1.2000000000000002,c4,3.0,1.0,0
49.2,117.0,1.6,-0.9,c3,4.0,1.0,0
52.400000000000006,91.0,4.4,2.3000000000000003,c1,3.0,0.0,1
60.6,138.0,-0.7000000000000001,-9.7,c2,3.0,0.0,0
51.900000000000006,138.0,5.9,7.9,c1,3.0,NA,0
46.900000000000006,126.0,-0.7000000000000001,-0.8,c1,3.0,0.0,1
NA,143.0,0.8,-3.5,c1,2.0,1.0,0
53.6,63.0,1.4,2.1,c4,1.0,0.0,1
62.5,132.0,4.2,-0.1,c1,2.0,0.0,0
51.6,120.0,-0.5,-4.2,c5,2.0,1.0,1
40.400000000000006,112.0,-1.1,-1.0,NA,2.0,0.0,1
39.2,96.0,2.2,6.4,c2,2.0,NA,0
63.400000000000006,165.0,2.3000000000000003,1.6,c4,3.0,1.0,0
64.0,74.0,3.8,-1.6,c1,3.0,0.0,1
48.7,113.0,-2.6,-5.4,c4,2.0,1.0,1
47.1,108.0,2.0,3.8,c3,2.0,0.0,0
61.900000000000006,144.0,5.300000000000001,4.800000000000001,c1,1.0,NA,0
41.3,127.0,-3.8,-0.8,c5,4.0,0.0,1
43.0,64.0,4.5,4.0,c1,3.0,0.0,1
55.3,150.0,-0.4,1.3,c1,4.0,0.0,1
47.0,117.0,4.5,10.9,c4,2.0,0.0,0
50.1,95.0,-0.2,-7.5,c1,1.0,NA,0
48.900000000000006,74.0,-0.1,8.5,c3,4.0,0.0,0
52.900000000000006,110.0,-1.6,1.0,c1,1.0,0.0,1
61.400000000000006,127.0,6.0,14.8,c5,2.0,0.0,0
50.900000000000006,111.0,0.3,-5.5,c2,3.0,0.0,0
55.3,92.0,4.0,3.5,c1,4.0,0.0,1
33.7,89.0,3.8,2.4000000000000004,c5,3.0,1.0,1
49.8,89.0,-3.5,-0.9,c3,4.0,1.0,1
43.400000000000006,122.0,0.3,0.7000000000000001,c3,3.0,0.0,0
40.400000000000006,130.0,3.1,2.6,c2,4.0,0.0,0
43.1,67.0,5.800000000000001,6.800000000000001,c3,2.0,0.0,0
47.5,98.0,4.6000000000000005,2.0,c1,3.0,0.0,1
57.5,139.0,6.5,1.9,c2,1.0,0.0,0
39.5,90.0,-2.0,-1.5,c2,3.0,0.0,1
50.400000000000006,64.0,4.4,0.0,c2,3.0,0.0,1
46.3,117.0,-1.6,-3.5,c1,4.0,1.0,1
47.5,80.0,-3.2,-10.5,c4,4.0,0.0,0
NA,119.0,-3.2,-4.2,c1,3.0,0.0,1
54.5,81.0,-4.4,-9.4,c2,3.0,0.0,0
60.900000000000006,140.0,1.3,-0.6000000000000001,c3,4.0,0.0,0
48.900000000000006,87.0,5.6000000000000005,-1.3,c1,4.0,NA,1
44.6,115.0,0.6000000000000001,-1.2000000000000002,c1,1.0,0.0,1
48.400000000000006,92.0,-2.4000000000000004,0.1,c1,3.0,0.0,1
52.1,91.0,4.9,0.2,c1,5.0,1.0,1
51.6,114.0,5.2,-1.0,c4,2.0,0.0,0
41.5,57.0,-0.6000000000000001,1.2000000000000002,c2,3.0,NA,0
50.900000000000006,150.0,-0.9,1.5,c2,2.0,0.0,1
52.0,108.0,4.5,4.1000000000000005,c1,4.0,NA,1
70.3,119.0,5.7,1.4,c2,4.0,0.0,0
65.2,115.0,4.3,-0.5,c1,5.0,NA,0
43.3,89.0,1.7000000000000002,-1.6,c1,4.0,0.0,1
47.900000000000006,123.0,2.7,0.5,c2,3.0,0.0,1
38.400000000000006,57.0,0.5,-8.5,c3,3.0,NA,0
45.400000000000006,82.0,3.6,-2.6,c1,4.0,0.0,1
52.7,103.0,0.9,4.4,c1,4.0,0.0,1
NA,158.0,-2.3000000000000003,-2.7,c3,1.0,0.0,0
44.3,118.0,0.8,4.3,c1,2.0,0.0,1
44.900000000000006,134.0,5.300000000000001,7.4,c1,4.0,NA,0
33.0,72.0,-1.7000000000000002,-4.5,c5,1.0,1.0,1
48.900000000000006,137.0,7.1000000000000005,3.4000000000000004,c1,4.0,NA,0
41.7,120.0,5.4,7.300000000000001,c3,5.0,0.0,0
45.900000000000006,112.0,6.6000000000000005,7.4,c4,2.0,0.0,0
43.1,110.0,-2.2,0.7000000000000001,c1,2.0,1.0,1
49.400000000000006,83.0,4.1000000000000005,1.9,c2,5.0,NA,1
36.1,126.0,0.4,-0.7000000000000001,c2,3.0,1.0,1
38.400000000000006,74.0,-1.7000000000000002,-4.2,c1,4.0,1.0,0
67.2,144.0,-1.0,-2.7,c1,1.0,1.0,0
39.900000000000006,101.0,6.1000000000000005,0.8,c5,2.0,1.0,1
41.400000000000006,49.0,0.8,-1.2000000000000002,c1,1.0,0.0,0
64.9,124.0,0.1,-2.2,c4,3.0,0.0,0
73.4,145.0,4.9,0.7000000000000001,c2,5.0,1.0,0
40.8,82.0,2.2,3.7,c3,3.0,0.0,0
47.2,94.0,0.7000000000000001,-7.0,c2,1.0,1.0,0
52.900000000000006,145.0,4.6000000000000005,3.9,c2,1.0,1.0,0
64.0,101.0,-1.6,-6.9,c2,4.0,0.0,1
42.3,53.0,1.5,-3.9,c2,1.0,NA,0
48.2,81.0,5.0,-0.5,c4,2.0,1.0,1
56.400000000000006,131.0,2.3000000000000003,2.4000000000000004,c4,4.0,0.0,0
53.6,129.0,-0.1,-11.3,c1,2.0,0.0,1
47.1,112.0,-0.9,-1.7000000000000002,c1,3.0,0.0,1
49.1,123.0,5.300000000000001,3.2,c4,2.0,1.0,0
39.2,89.0,-4.0,-9.2,c1,2.0,0.0,0
48.3,83.0,2.7,1.5,c4,2.0,NA,1
48.0,71.0,3.5,-3.7,c1,3.0,1.0,0
52.0,69.0,NA,-2.3000000000000003,c1,2.0,0.0,0
45.7,87.0,3.8,-3.6,c1,5.0,1.0,1
53.900000000000006,128.0,5.0,11.4,c1,2.0,1.0,0
58.3,120.0,3.8,5.300000000000001,c3,4.0,1.0,0
51.400000000000006,103.0,-3.0,-3.1,c2,2.0,NA,1
53.0,77.0,-3.0,-8.3,c5,2.0,1.0,1
50.6,171.0,0.6000000000000001,-2.2,c2,3.0,0.0,1
50.2,78.0,2.8000000000000003,-0.1,c3,4.0,0.0,0
44.400000000000006,94.0,6.300000000000001,5.0,c3,1.0,NA,0
52.7,132.0,6.4,5.7,c1,2.0,NA,0
49.400000000000006,100.0,6.6000000000000005,5.1000000000000005,c4,4.0,NA,1
NA,107.0,1.4,1.0,c2,2.0,0.0,0
62.8,143.0,1.3,-1.2000000000000002,c2,5.0,0.0,0
53.2,69.0,3.0,NA,c2,1.0,0.0,1
44.1,137.0,2.8000000000000003,-1.8,c2,4.0,1.0,1
41.3,93.0,4.4,-2.3000000000000003,c1,3.0,0.0,0
59.7,110.0,NA,5.2,c1,NA,1.0,0
52.3,66.0,-2.7,-2.2,c5,1.0,0.0,1
54.0,76.0,3.7,9.3,c4,5.0,0.0,1
36.2,75.0,-1.1,-3.7,c4,2.0,0.0,0
57.6,164.0,-1.6,7.2,c3,2.0,0.0,0
53.8,113.0,3.5,1.8,c3,2.0,0.0,0
41.3,95.0,5.4,8.0,c4,2.0,0.0,1
46.400000000000006,104.0,4.9,2.8000000000000003,c2,3.0,0.0,0
52.3,168.0,4.6000000000000005,3.1,c4,3.0,1.0,0
50.6,89.0,4.9,2.2,c2,5.0,0.0,1
47.8,139.0,-4.1000000000000005,-7.300000000000001,c2,2.0,NA,1
49.3,88.0,2.1,4.4,c2,4.0,1.0,1
48.1,78.0,3.2,1.2000000000000002,c1,5.0,0.0,1
51.400000000000006,100.0,-1.5,0.6000000000000001,c1,1.0,1.0,1
61.900000000000006,118.0,4.7,6.4,c5,4.0,0.0,0
NA,81.0,3.8,7.7,c2,2.0,1.0,1
48.3,35.0,-6.5,-5.5,c1,3.0,0.0,0
51.6,107.0,4.9,-3.7,c5,1.0,1.0,1
52.5,88.0,5.9,2.2,c5,2.0,0.0,1
47.2,76.0,-0.9,-2.5,c3,1.0,NA,0
36.1,42.0,4.4,2.3000000000000003,c1,2.0,NA,1
52.8,95.0,4.4,7.800000000000001,c1,1.0,0.0,0
64.0,110.0,1.4,4.4,c4,5.0,0.0,0
37.9,68.0,3.0,0.4,c1,5.0,0.0,1
NA,68.0,3.0,11.3,c1,4.0,0.0,1
47.5,99.0,2.0,-1.4,c1,2.0,1.0,0
49.7,78.0,5.300000000000001,1.9,c3,5.0,1.0,1
41.7,42.0,7.2,0.0,c2,5.0,0.0,1
47.5,81.0,2.1,-6.4,c4,4.0,1.0,0
60.6,97.0,0.5,-6.2,c4,4.0,1.0,1
54.8,109.0,1.9,4.3,c5,2.0,1.0,1
64.0,109.0,4.3,5.300000000000001,c1,5.0,1.0,0
59.6,77.0,1.1,-4.4,c2,3.0,NA,1
53.7,82.0,4.2,2.5,c3,3.0,NA,1
64.10000000000001,77.0,3.6,4.9,c5,2.0,0.0,1
53.7,137.0,2.1,-8.4,c1,1.0,1.0,0
56.8,147.0,1.1,6.800000000000001,c1,5.0,0.0,0
47.8,135.0,2.8000000000000003,5.300000000000001,c3,3.0,0.0,0
50.7,85.0,5.7,6.800000000000001,c3,4.0,0.0,0
44.6,126.0,0.1,3.5,c1,1.0,0.0,0
58.1,125.0,6.4,-4.7,c2,3.0,NA,0
40.7,62.0,-0.3,-2.8000000000000003,c2,2.0,0.0,0
56.400000000000006,94.0,1.2000000000000002,4.800000000000001,c2,4.0,1.0,1
48.6,93.0,3.5,1.4,c1,3.0,1.0,1
59.5,119.0,-1.5,0.2,c3,2.0,0.0,0
56.2,120.0,-3.1,1.8,c1,1.0,0.0,1
64.7,125.0,6.300000000000001,6.9,c1,2.0,1.0,0
56.0,101.0,4.1000000000000005,0.9,c2,2.0,0.0,0
37.6,116.0,1.4,2.1,c1,4.0,1.0,1
49.6,96.0,4.3,-4.9,c3,4.0,1.0,0
40.8,80.0,NA,4.3,c2,2.0,NA,1
46.0,88.0,-3.1,-1.2000000000000002,c2,3.0,0.0,0
62.3,118.0,4.7,3.2,c1,5.0,1.0,0
55.3,72.0,-3.3000000000000003,0.4,c1,2.0,0.0,1
44.6,64.0,-0.9,-1.2000000000000002,c3,3.0,0.0,0
42.0,153.0,4.9,3.3000000000000003,c1,1.0,0.0,1
50.400000000000006,56.0,1.4,7.4,c1,3.0,1.0,1
40.400000000000006,91.0,3.4000000000000004,-2.7,c3,2.0,1.0,0
44.8,101.0,2.9000000000000004,6.800000000000001,c1,2.0,0.0,0
52.7,132.0,6.300000000000001,9.5,c2,2.0,1.0,0
59.400000000000006,126.0,-1.1,1.0,c1,3.0,1.0,0
55.0,160.0,1.1,-2.3000000000000003,c1,2.0,1.0,0
31.8,76.0,1.7000000000000002,NA,c4,4.0,0.0,1
52.6,141.0,3.6,-1.9,c3,3.0,NA,0
50.7,129.0,5.7,1.0,c1,1.0,1.0,0
53.5,148.0,-1.2000000000000002,-2.1,c1,3.0,0.0,1
63.1,123.0,-4.6000000000000005,-9.4,c2,1.0,1.0,1
33.6,83.0,0.3,-2.4000000000000004,c3,1.0,1.0,0
45.400000000000006,82.0,4.5,-2.4000000000000004,c2,1.0,NA,0
54.900000000000006,113.0,0.1,1.2000000000000002,c1,4.0,0.0,1
37.5,85.0,3.5,8.4,c5,3.0,0.0,1
62.0,64.0,-2.0,5.9,c4,1.0,1.0,1
53.1,102.0,-1.5,-7.300000000000001,c3,3.0,0.0,0
56.900000000000006,136.0,7.800000000000001,1.6,c4,2.0,1.0,0
45.6,56.0,4.1000000000000005,1.7000000000000002,c1,4.0,1.0,1
56.7,85.0,3.9,5.300000000000001,c1,5.0,0.0,1
58.7,146.0,0.1,-1.9,c1,2.0,0.0,0
52.0,140.0,6.9,9.0,c1,2.0,1.0,0
52.0,87.0,1.0,2.0,c1,4.0,1.0,1
52.3,109.0,4.9,-4.3,c4,3.0,1.0,0
43.2,87.0,4.1000000000000005,2.7,c4,4.0,1.0,0
49.0,130.0,4.3,-2.6,c2,3.0,0.0,0
48.900000000000006,84.0,3.2,-0.7000000000000001,c3,2.0,0.0,0
53.2,95.0,-0.2,-3.1,c1,4.0,NA,1
58.2,150.0,-3.9,-1.4,NA,2.0,NA,1
41.7,59.0,-2.3000000000000003,-3.3000000000000003,c2,1.0,1.0,0
49.2,85.0,0.3,-2.8000000000000003,c3,5.0,NA,0
NA,124.0,4.6000000000000005,11.8,c3,3.0,0.0,0
44.2,131.0,2.4000000000000004,-2.9000000000000004,c3,2.0,NA,0
43.6,NA,3.2,2.9000000000000004,c5,2.0,0.0,1
51.8,84.0,4.0,5.2,c1,1.0,0.0,1
56.900000000000006,NA,3.9,3.0,c1,3.0,1.0,0
50.3,121.0,-3.1,-7.6,c1,5.0,0.0,1
60.8,124.0,-2.1,-7.0,c5,4.0,0.0,1
57.0,109.0,-0.1,1.4,c2,4.0,1.0,1
56.900000000000006,115.0,4.4,7.1000000000000005,c2,3.0,0.0,0
54.6,67.0,2.8000000000000003,1.1,c5,1.0,0.0,1
68.8,135.0,6.0,-1.5,c2,3.0,1.0,0
48.5,138.0,-0.3,-1.3,c1,1.0,1.0,1
34.1,38.0,0.7000000000000001,5.9,c1,1.0,1.0,0
NA,101.0,4.0,-1.9,c2,2.0,1.0,0
46.5,84.0,-1.4,-3.7,c3,5.0,0.0,0
51.0,93.0,4.1000000000000005,2.7,c4,2.0,NA,1
60.6,168.0,2.1,5.300000000000001,c1,3.0,1.0,0
37.3,54.0,3.0,-0.8,c3,5.0,0.0,0
40.1,53.0,5.6000000000000005,5.800000000000001,c1,4.0,1.0,1
37.3,100.0,6.4,10.4,c4,1.0,0.0,1
43.8,72.0,3.4000000000000004,-4.5,c1,3.0,1.0,0
53.7,128.0,-3.5,-9.8,c1,4.0,0.0,1
54.400000000000006,102.0,-1.2000000000000002,-2.5,c2,3.0,0.0,1
52.400000000000006,116.0,NA,7.0,c4,2.0,1.0,0
38.900000000000006,39.0,4.5,4.3,c1,3.0,0.0,1
NA,82.0,0.6000000000000001,3.9,c1,3.0,0.0,1
50.6,107.0,4.7,-4.3,c1,3.0,0.0,1
46.400000000000006,87.0,-1.0,-0.5,c5,1.0,0.0,1
53.8,73.0,3.4000000000000004,-10.2,c2,5.0,0.0,0
55.8,116.0,3.3000000000000003,7.4,c5,5.0,0.0,1
51.3,122.0,4.1000000000000005,7.5,c1,2.0,1.0,0
56.2,96.0,0.2,-2.4000000000000004,c2,2.0,0.0,1
52.0,90.0,-1.3,-12.1,c2,2.0,NA,0
54.400000000000006,129.0,2.1,-0.2,c1,3.0,0.0,1
44.5,137.0,4.4,7.5,c2,2.0,0.0,0
48.7,123.0,5.1000000000000005,5.0,c2,3.0,0.0,0
51.7,109.0,-1.2000000000000002,5.6000000000000005,c1,5.0,0.0,1
56.7,105.0,4.4,1.4,c2,2.0,0.0,1
47.0,94.0,5.0,11.8,c3,2.0,NA,0
54.3,72.0,6.4,-4.1000000000000005,c2,1.0,0.0,1
48.0,93.0,3.0,-1.7000000000000002,c2,2.0,0.0,0
49.2,129.0,2.8000000000000003,-4.2,c4,5.0,1.0,1
56.8,113.0,4.3,5.7,c3,1.0,0.0,0
34.2,57.0,7.0,-0.1,c3,3.0,0.0,0
39.8,64.0,2.8000000000000003,5.5,c1,2.0,0.0,1
38.3,80.0,5.300000000000001,6.4,c3,2.0,1.0,1
31.5,36.0,NA,-0.8,c1,2.0,0.0,0
44.7,67.0,1.3,-0.5,c1,4.0,0.0,1
56.2,152.0,5.0,-1.3,c2,4.0,0.0,0
47.900000000000006,69.0,-0.3,1.1,c4,1.0,1.0,0
51.7,81.0,0.0,-3.3000000000000003,c1,3.0,0.0,1
NA,123.0,3.5,5.1000000000000005,c2,3.0,0.0,0
60.8,106.0,NA,4.2,c1,1.0,0.0,0
49.6,102.0,3.9,1.0,c1,2.0,1.0,1
61.0,142.0,1.1,5.4,c2,2.0,NA,0
50.900000000000006,60.0,-2.4000000000000004,-2.5,c1,4.0,0.0,1
