record_id,thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,station_code,ingest_marker,calibration_tag,diagnostic_noise,thermoreg_reading_fahrenheit
P58846950,59.2,82.0,0.2,-0.6000000000000001,c1,5.0,1.0,1,Z-HJU,1.0,A,-0.0491815806117122,
P21679655,53.900000000000006,129.0,,-1.8,c5,4.0,0.0,1,Z-TLX,1.0,A,0.4245924662982158,
P77899372,,86.0,3.1,7.2,c2,2.0,0.0,0,Z-CFZ,1.0,A,-0.5573988169282686,24.266367834050858
P95349560,53.1,84.0,4.3,-1.3,c3,,0.0,0,Z-FWA,1.0,A,1.1043480398738683,35.31875705674249
P98150110,42.5,110.0,3.9,5.9,c1,2.0,0.0,1,Z-VTZ,1.0,A,-0.8351678088329629,
P65969523,57.2,102.0,5.5,-1.3,c1,5.0,1.0,1,Z-TCA,1.0,A,-0.1431810750171375,
P88150067,49.8,56.0,1.0,0.2,c1,2.0,1.0,1,Z-HIH,1.0,A,0.4434313928167315,31.550666801123725
P43209381,48.7,122.0,1.8,4.4,c1,,1.0,0,Z-NGD,1.0,A,-0.9998483283877873,30.336238728092656
P23116609,,67.0,0.5,1.2000000000000002,c2,4.0,1.0,0,Z-OJP,1.0,A,0.6949690112158986,25.871634100364528
P56025101,,197.0,3.5,0.1,c1,3.0,1.0,0,Z-VDL,,A,-0.2052571705822108,43.00287204806627
P49936047,48.900000000000006,85.0,-2.2,-2.3000000000000003,c5,4.0,0.0,1,Z-JFF,1.0,A,0.3194506804771708,30.609234661380786
P69655865,46.7,39.0,2.4000000000000004,7.5,c4,3.0,0.0,1,Z-KML,1.0,A,-0.3674815576518863,28.145049600532033
P99508614,,141.0,4.9,0.2,c2,3.0,1.0,0,Z-BBE,1.0,A,-1.2293308666422602,28.830798045605935
P34777793,54.400000000000006,105.0,7.9,7.800000000000001,c4,5.0,,0,Z-BIV,1.0,A,0.6572941669849693,
P87014642,53.1,111.0,4.6000000000000005,,c2,2.0,0.0,0,Z-ATF,1.0,A,0.1754986784317391,35.288996579276706
P22417126,53.5,115.0,0.5,-2.8000000000000003,c5,1.0,1.0,1,Z-PXQ,1.0,A,0.1508964061944079,35.7145935043639
p41297197,53.6,68.0,-1.8,4.2,c3,3.0,1.0,1,Z-SLT,1.0,B,-0.3712140809024122,35.87738902707095
p80923563,,69.0,1.5,8.5,c3,3.0,0.0,0,Z-LNK,1.0,A,0.5287751885497837,51.27482840783415
P32286307,46.900000000000006,146.0,2.2,4.9,c1,3.0,0.0,0,Z-QOT,1.0,A,-0.4277951819003524,
P70332452,46.1,50.0,1.4,,c3,3.0,0.0,0,Z-ZUZ,1.0,A,0.1685825189086283,27.38981543835617
P51309493,43.6,132.0,-3.0000000000000004,-9.2,c3,3.0,,0,Z-MWL,1.0,A,1.59571438970044,
p56114408,55.1,121.0,3.0,-4.6000000000000005,c1,3.0,0.0,1,Z-NKJ,1.0,A,-0.3691784603303246,37.54381480317946
P94715184,59.2,119.0,5.0,2.4000000000000004,c1,5.0,0.0,0,Z-EWI,1.0,A,0.433770034487732,42.160750634488025
P83506279,49.2,85.0,5.7,0.6000000000000001,c4,1.0,1.0,1,Z-WYR,1.0,A,-0.4152535390656947,30.974472881106124
P85525333,43.400000000000006,150.0,2.8000000000000003,3.5,c5,5.0,1.0,1,Z-IPH,1.0,A,0.3033523906066593,24.438591707337245
P59416774,43.6,69.0,5.9,-8.5,c3,3.0,1.0,0,Z-SBY,1.0,A,-0.2203899093441017,
P98404081,55.400000000000006,90.0,-0.7000000000000001,0.4,c1,1.0,1.0,1,Z-NYI,1.0,A,0.7655626648143243,
P98282227,56.1,127.0,,-2.6,c2,1.0,1.0,1,?,1.0,,-0.6007059332175372,38.68928754083098
P22160780,54.5,88.0,-1.6,-5.300000000000001,,3.0,0.0,1,Z-FOV,1.0,A,-0.3646401824358776,36.88838841474676
P28405851,44.8,63.0,6.800000000000001,12.4,?,4.0,0.0,0,Z-HHV,1.0,A,1.588372744162563,26.010412634401753
P37752978,52.0,101.0,0.0,-2.9000000000000004,c1,3.0,0.0,1,Z-OWK,1.0,A,0.1770676449519227,34.08945190760048
P59835732,51.1,119.0,4.7,-4.3,c1,3.0,1.0,1,Z-ECS,1.0,A,1.750224986992417,33.05017228226655
P84147603,51.900000000000006,,5.7,5.300000000000001,c2,2.0,0.0,0,Z-VMF,1.0,A,,33.968197370561114
P53526222,57.1,167.0,47.0,4.1000000000000005,c3,3.0,1.0,0,Z-XNJ,1.0,A,-1.0730601338023549,
P98538849,,54.0,33.0,0.5,c4,5.0,1.0,1,Z-EGV,1.0,A,-0.0552154240038356,34.01235993897214
P41794736,55.6,304.9924704577469,31.0,11.0,c2,3.0,0.0,0,Z-RCG,1.0,A,0.3947143893051731,38.11022206764705
P93548961,50.7,73.0,5.800000000000001,4.4,c1,4.0,0.0,1,Z-YME,1.0,A,-0.2089853435932439,32.608211625400024
P63243577,52.5,78.0,-1.0,1.8,c1,1.0,1.0,1,Z-IXB,1.0,?,-1.38113308899024,34.60207458820986
,55.2,93.0,-4.4,-4.1000000000000005,c3,3.0,0.0,1,Z-NEY,1.0,,-1.6789092813166897,37.68159403254686
,38.5,63.0,37.0,7.1000000000000005,c1,4.0,0.0,1,Z-TGM,1.0,A,1.7412030333156825,18.885597621299
P63281481,47.6,66.0,48.00000000000001,1.2000000000000002,c3,4.0,0.0,0,Z-ZJK,1.0,A,-0.8103631268827923,29.12295905278429
P82198241,46.400000000000006,30.0,-26.0,-8.4,c2,3.0,0.0,0,Z-DLW,1.0,A,0.4608458277924674,27.76664611136484
P89802281,45.0,129.0,2.3000000000000003,3.6,c2,3.0,0.0,0,Z-ZFU,1.0,A,0.9219288238778692,26.250099365809923
P88060019,48.0,120.0,-2.0,-2.1,c1,1.0,1.0,1,Z-YEO,1.0,A,0.8575285672087457,29.523719738959848
P97059914,62.1,119.0,4.1000000000000005,5.300000000000001,c4,2.0,0.0,0,Z-BLN,1.0,A,-3.149036728374814,45.45447180110956
,,61.0,4.9,0.1,c3,4.0,0.0,0,Z-WMR,1.0,A,-1.596569573704003,24.207519958760813
P80084932,,,2.6,,c2,4.0,1.0,0,,1.0,A,-1.3627466602510696,
P52036588,36.7,75.0,-2.3000000000000003,-10.4,c2,1.0,0.0,0,Z-UPN,1.0,A,0.5375396465941884,16.85417205545776
P71712561,47.5,79.0,6.6000000000000005,2.1,c2,5.0,0.0,0,Z-GLR,1.0,A,-0.5471478131308604,28.986034730128026
P34943040,51.5,57.0,2.0,,c2,5.0,0.0,1,Z-SBP,,A,-1.326178288021169,
P11311531,54.900000000000006,121.0,0.5,1.0,c4,2.0,1.0,1,Z-QOP,1.0,A,0.538217160959557,37.276000982233505
p17480529,55.900000000000006,100.0,5.1000000000000005,0.8,c2,1.0,,1,Z-BIG,1.0,A,0.6970309885561763,38.40103921813569
p97540472,56.5,117.0,3.7,-4.2,c1,2.0,0.0,1,Z-XZY,1.0,A,-0.011407583203755,39.140125116799325
P90634987,47.400000000000006,99.0,-1.7000000000000002,-5.5,c5,5.0,1.0,1,Z-QAQ,1.0,A,-1.4045119386716989,28.861474349764062
P37308549,46.5,110.0,67.0,6.800000000000001,c2,3.0,0.0,0,Z-LZO,,A,0.2688634366171195,27.838833866018895
P48695382,57.0,116.0,3.2,1.8,c1,2.0,0.0,0,Z-CKO,1.0,A,-0.9378562005145676,39.72178293131439
P31682835,48.6,88.0,4.2,-1.1,c1,5.0,1.0,1,Z-QRO,1.0,A,-0.2071188182246656,
P23292216,39.900000000000006,,3.3000000000000003,4.9,c2,1.0,1.0,0,Z-KJO,1.0,A,,20.5188230899587
P87175416,41.1,109.0,4.1000000000000005,8.6,c3,5.0,0.0,0,Z-RLU,,A,0.1458543017297664,21.800415073968672
P70602612,42.8,128.0,4.1000000000000005,5.800000000000001,c5,4.0,0.0,1,Z-QXU,1.0,A,-0.2768833277122234,23.7249294259855
,54.1,76.0,-2.0,-13.2,c1,2.0,0.0,0,Z-ETM,1.0,A,-0.1378173571728704,36.474446696483874
P28199442,51.3,131.0,3.1,2.2,c2,4.0,0.0,0,Z-OZZ,1.0,A,0.5969275294222969,33.28183162463509
P60735041,55.7,66.0,4.0,,c1,4.0,0.0,1,Z-LXJ,1.0,A,0.0713916593227288,38.21436818660992
p91128797,46.7,121.0,-0.8,-11.0,c2,3.0,0.0,0,Z-VMW,1.0,A,-2.5277014612862283,28.154726182971192
P99637114,51.400000000000006,85.0,0.4,-6.7,c3,4.0,0.0,0,Z-HRQ,1.0,A,-0.83192554637766,33.426857219690426
P29543343,55.2,130.0,3.5,,c1,3.0,0.0,0,Z-HUN,1.0,A,-0.0429764566789494,37.63031354570603
,47.7,135.0,46.00000000000001,3.2,c5,4.0,,1,Z-MEL,1.0,A,0.9801087917784616,29.215881142517855
P12976721,53.8,111.0,,1.3,c1,4.0,0.0,1,Z-GVP,,?,-0.5558053986619359,
P25710427,44.900000000000006,90.0,2.7,-2.0,c3,5.0,0.0,0,Z-TPE,1.0,A,-0.6450852331679664,
P28069205,47.3,93.0,-3.6,-0.2,c3,4.0,0.0,1,Z-VSZ,1.0,A,0.3988158864839374,28.732515380914354
P49780777,47.1,83.0,28.000000000000004,-4.3,c2,5.0,0.0,0,Z-DMP,1.0,A,-1.1151271888434615,28.56435895401504
P41117308,40.6,115.0,3.6,-2.2,c4,2.0,1.0,1,Z-MEQ,1.0,,0.5852927990583215,21.237443189698645
,54.1,104.0,0.0,-2.9000000000000004,c3,2.0,0.0,0,Z-OXJ,1.0,A,-0.6720264914603995,36.38275232707024
P52201734,46.400000000000006,35.0,53.00000000000001,-3.4000000000000004,c3,3.0,0.0,0,Z-ZLC,1.0,,0.1429437587100278,27.77537893817549
P40511232,50.3,124.0,3.0,-2.7,c2,2.0,1.0,0,Z-NRN,1.0,A,0.2933241540748829,32.11244706854919
P91552090,54.0,129.0,1.1,3.9,c3,5.0,1.0,0,,1.0,A,0.355654255479701,36.32671993015318
p66281797,53.7,108.0,3.6,-2.0,c1,2.0,1.0,1,Z-KZV,1.0,A,1.0584594398158538,36.01878058426949
P72762497,55.5,88.0,2.2,3.6,c3,3.0,0.0,1,Z-BWW,1.0,A,,37.98846598075507
P77132236,49.400000000000006,,0.4,1.4,,3.0,0.0,1,Z-VBZ,1.0,A,-0.7927724088167997,31.113630639415188
P40538859,46.8,74.0,,-3.2,c3,5.0,1.0,0,Z-UPG,1.0,A,-0.0149343697896622,
P90217963,49.5,105.0,,-7.1000000000000005,c4,2.0,1.0,0,Z-JSZ,1.0,A,2.0801538882826165,31.282536101842407
P11518949,36.7,28.0,-4.5,-5.300000000000001,c5,5.0,1.0,0,Z-CYD,,A,1.0420300191052143,16.81399009437773
P37612143,38.6,92.0,3.6,-7.4,c1,2.0,0.0,0,Z-UFC,1.0,A,-0.9877582501310302,18.975987748192217
P24384132,39.6,85.0,,-3.9,c3,2.0,0.0,0,Z-BNC,1.0,A,-1.2525185006145578,
P10361020,42.2,122.0,4.3,3.2,c4,2.0,,1,Z-BMX,,A,-0.2083153073028675,23.024778551586664
P99679228,53.400000000000006,125.0,6.800000000000001,,c1,5.0,1.0,0,Z-AGG,1.0,A,-1.4536460659010064,35.59796804051093
P18083924,42.900000000000006,69.0,-2.8000000000000003,-4.7,c1,2.0,0.0,0,Z-LVZ,1.0,A,-1.310377500721073,23.850688501759453
P51374438,47.1,50.0,0.1,-4.1000000000000005,c1,1.0,0.0,0,Z-TYQ,1.0,A,1.0819114048883487,
,60.6,96.0,,-2.3000000000000003,c4,2.0,1.0,1,Z-CZK,1.0,A,1.0249649679104178,43.69305468007459
P72193592,47.3,133.0,2.4000000000000004,-1.5,c5,3.0,1.0,1,Z-MPG,1.0,A,0.9241382836726466,28.793624260447167
P87095283,56.1,118.0,3.3000000000000003,,c4,2.0,,0,Z-WFJ,1.0,A,1.607853778280426,38.63764011620378
p14920125,42.7,104.0,-1.9,-1.7000000000000002,c2,2.0,0.0,0,?,1.0,A,-2.02346828118271,23.597440879911105
P54748346,48.5,81.0,3.8,1.6,c3,2.0,1.0,0,Z-RWM,1.0,A,0.1375496149185496,30.15106197919133
p13064525,42.6,101.0,4.1000000000000005,4.6000000000000005,c1,4.0,0.0,1,Z-HQI,1.0,A,-0.6494278759064674,
P27233259,47.400000000000006,55.0,2.1,0.2,c5,3.0,0.0,1,Z-FDC,1.0,A,1.0112653891172374,28.948702316894934
P86130109,56.900000000000006,137.0,-3.3000000000000003,-10.2,c5,,,1,Z-JCU,,A,-1.0004702856972871,39.56277323711656
P16586087,36.3,46.0,5.1000000000000005,-1.9,c2,5.0,0.0,0,Z-JHR,1.0,A,0.4175600556761533,16.45411619126886
P62909374,53.6,53.0,0.3,1.2000000000000002,c1,,0.0,1,Z-KNE,1.0,A,0.8441924814517087,35.909812791912714
P11813711,52.1,165.0,3.9,-4.0,c5,4.0,1.0,1,Z-DFG,1.0,A,0.9735388743633456,34.139620420990504
P37783876,45.400000000000006,96.0,4.800000000000001,1.0,c4,2.0,1.0,0,Z-DCK,1.0,A,1.5796655704785467,26.652650398728852
P93948970,38.6,84.0,3.3000000000000003,0.8,c5,3.0,0.0,1,Z-XZF,1.0,A,1.4928443156248867,18.98547931050391
P38563897,50.7,51.0,0.7000000000000001,-5.4,c2,2.0,0.0,0,Z-YMK,1.0,A,0.1213345797367923,32.649165569424824
P37815654,45.900000000000006,110.0,2.3000000000000003,-6.7,c1,3.0,1.0,0,Z-XCM,1.0,A,-1.529317954017763,27.234565618425776
P18031352,52.0,127.0,4.4,-2.7,c2,1.0,0.0,1,Z-FON,1.0,A,0.4166148760880659,34.09408590219233
P25540264,50.3,95.0,,-12.1,c2,3.0,1.0,0,Z-XUV,1.0,A,1.4943524584095886,32.196669309710984
P54902525,63.0,146.0,4.5,4.9,c4,3.0,0.0,0,Z-YYI,1.0,A,1.17482225671555,46.41601002188824
P12212749,48.2,129.0,6.0,,c1,3.0,0.0,0,Z-PNB,1.0,A,-1.9909995703275185,29.84579935274278
P11985061,42.0,101.0,1.2000000000000002,-3.8,c3,2.0,0.0,0,Z-YUP,1.0,A,,22.788522566403216
P85521236,51.6,44.0,3.5,-4.3,c4,2.0,1.0,0,Z-GSO,1.0,A,0.6348978819550049,
P10704986,51.900000000000006,72.0,0.9,4.1000000000000005,c1,2.0,0.0,1,Z-JNU,1.0,A,0.5568604684053615,33.97997015574589
P51967287,,164.0,7.0,6.300000000000001,c2,,1.0,0,Z-LCY,1.0,A,0.1057406750830912,
P48449955,56.8,114.0,3.4000000000000004,-1.2000000000000002,c3,2.0,1.0,0,Z-OOS,,,0.1321596589871271,39.516001213231206
P21448262,53.0,108.0,4.2,7.1000000000000005,c2,4.0,0.0,0,Z-RLW,1.0,A,-0.7808760302928115,
P68044526,61.900000000000006,98.0,5.800000000000001,4.1000000000000005,c2,3.0,,0,Z-RAE,1.0,A,0.5170851076702834,45.16972602097606
,40.6,67.0,4.3,3.5,c3,1.0,1.0,0,Z-LOD,1.0,A,1.7647183009521092,21.30113251109434
P98650273,45.0,124.0,0.5,-5.6000000000000005,c1,2.0,0.0,1,Z-YPJ,1.0,A,0.0888213407266587,26.24223620525227
P27608754,42.7,128.0,5.5,-3.2,c3,3.0,1.0,0,Z-BHH,1.0,,-1.6671660396283712,23.66081652735028
P93091056,47.0,117.0,-2.5,-10.5,c4,3.0,1.0,0,Z-HAA,1.0,A,-0.6787613554768265,28.491711771598087
?,39.1,97.0,2.9000000000000004,9.8,c1,,0.0,0,Z-NQA,1.0,A,0.524946166427131,19.60982467199322
P22713950,55.2,126.0,4.4,-1.3,c1,,1.0,1,Z-XCM,1.0,A,0.5562161231029884,37.71635852132964
P63855289,48.400000000000006,96.0,0.7000000000000001,-0.7000000000000001,,5.0,0.0,1,Z-CCU,1.0,?,-0.7483529133261426,29.99999572611104
P88056257,38.400000000000006,48.0,0.5,0.7000000000000001,c3,,1.0,0,Z-KMX,1.0,A,-0.8476074230146574,
P90618197,42.0,48.0,,1.3,c2,2.0,0.0,0,Z-GCB,1.0,A,0.1823983941284996,22.859788269132125
P76597569,52.7,140.0,-3.9,-5.7,c2,4.0,1.0,1,Z-ZFO,1.0,A,0.2841928604955068,34.821624627051754
P47557574,,111.0,1.2000000000000002,-1.3,c3,2.0,1.0,0,Z-VQP,1.0,A,0.165024085065841,39.54313911104943
P82462239,66.10000000000001,,-0.7000000000000001,,c2,2.0,1.0,0,Z-OCR,1.0,A,-0.0052013628801711,49.970578025226075
P57519724,73.5,145.0,-1.8,-7.6,c3,4.0,0.0,0,Z-PGV,1.0,A,-0.0186357957687291,58.22476219406597
P27115301,53.5,113.0,,0.9,c4,5.0,1.0,1,Z-PCK,1.0,A,-0.6954592372220769,35.72968489948397
P71278906,42.2,96.0,4.800000000000001,-7.2,c2,3.0,1.0,0,Z-UWR,1.0,A,-1.888958547264372,23.09415691971322
P18361127,33.1,90.0,50.0,-5.2,,3.0,1.0,1,Z-ZMR,1.0,A,-1.2369684026708114,12.811583473418215
P72758365,52.3,83.0,-0.9,-7.9,c2,2.0,1.0,0,Z-ROV,1.0,A,-0.3876076112131443,34.409403161094524
P11616583,43.7,121.0,2.4000000000000004,4.1000000000000005,c2,3.0,0.0,0,Z-TQJ,1.0,A,0.7651124568063503,
P42428597,46.8,75.0,-2.7,-5.2,?,4.0,1.0,0,Z-RWP,1.0,A,-0.8903967798049548,
P36367756,45.3,99.0,3.0,3.9,c3,4.0,0.0,0,Z-ZXJ,1.0,A,2.0444082610214607,
P94587712,49.0,67.0,5.9,5.2,c3,1.0,1.0,0,Z-GWB,1.0,A,-0.1506340859535196,30.732882022252532
P75440056,58.7,110.0,-0.8,,c4,1.0,0.0,1,Z-KQM,1.0,A,-0.7896840298969395,
P68990384,51.400000000000006,85.0,1.4,-4.4,c2,4.0,1.0,1,Z-SSE,1.0,A,0.7519926212458852,33.4134371070081
P54386105,48.900000000000006,99.0,6.6000000000000005,4.5,c4,3.0,0.0,0,Z-KNG,1.0,A,1.20709634195429,
P35802849,41.900000000000006,106.0,0.9,0.2,c1,5.0,0.0,1,Z-DZX,1.0,A,1.4917508735984737,22.679116224567693
P86762799,36.8,80.0,5.800000000000001,12.8,c3,1.0,1.0,0,Z-SDW,1.0,A,0.865363476196238,16.927853497660788
P95169761,46.3,147.0,5.1000000000000005,1.4,c2,5.0,0.0,0,Z-AGD,1.0,A,0.5683346363859051,27.623228818340024
P29549017,49.7,121.0,1.0,2.4000000000000004,c1,1.0,0.0,1,Z-CDI,1.0,A,-0.3317656406791867,31.515957042635115
P32002880,64.3,118.0,-1.2000000000000002,-3.2,c2,1.0,1.0,0,Z-IOJ,1.0,A,0.1954583070489345,47.911369222218944
P38366447,51.2,100.0,2.5,-2.4000000000000004,c1,5.0,0.0,1,Z-ZMZ,,A,0.3229473523235711,33.172470693255974
P52933451,58.0,124.0,4.2,5.800000000000001,c1,3.0,0.0,0,Z-EDK,1.0,A,-0.6856034330912628,40.84465559920752
P33232676,46.2,113.0,5.1000000000000005,10.9,c2,2.0,1.0,0,Z-XJN,1.0,A,0.451732051098252,27.50633961314763
P46375052,40.7,,4.1000000000000005,3.1,c5,3.0,1.0,1,Z-SST,1.0,A,-1.8123065775903795,21.33550610224678
P98047102,42.400000000000006,105.0,5.300000000000001,0.1,c4,2.0,0.0,0,Z-PKY,1.0,A,-0.6652227886074374,
P43107744,44.400000000000006,58.0,-2.2,-1.5,c5,5.0,0.0,1,Z-HVZ,1.0,,-0.4457048959786249,25.472965419178223
P94690539,67.2,144.0,1.7000000000000002,1.0,c1,4.0,0.0,0,Z-EMA,1.0,A,0.0601177032845134,51.15622759191648
P55271019,43.6,119.0,0.5,,c1,4.0,1.0,0,Z-AXU,1.0,A,0.4576197780408045,24.607519886980526
P40661755,56.900000000000006,120.0,3.8,4.9,c1,2.0,0.0,0,Z-JZJ,1.0,?,0.3811491865058439,39.546402833627106
P94229969,42.900000000000006,26.0,47.0,-1.5,c3,1.0,0.0,0,Z-UND,1.0,A,0.3030098481877233,23.87365539721676
P49240135,57.6,65.0,1.7000000000000002,5.2,c5,4.0,1.0,1,Z-YUF,1.0,A,-1.4373965960841275,40.3841571158682
P79651994,53.2,121.0,2.1,3.5,c2,1.0,1.0,0,Z-YYB,1.0,A,2.170281856098069,35.46455869495277
P38288766,48.900000000000006,32.0,1.6,3.8,c2,1.0,1.0,0,Z-CEV,1.0,A,,30.590258921077183
P99919660,49.8,116.0,3.5,3.4000000000000004,c1,3.0,1.0,1,Z-SJM,1.0,A,1.227546714153446,31.633137264781094
,44.900000000000006,118.0,,5.5,c3,4.0,,0,,1.0,A,0.2638106987259831,26.106910741135486
P88970183,53.7,137.0,-0.7000000000000001,-0.4,c4,3.0,0.0,1,Z-YJD,1.0,B,0.1541110907768651,36.01464981333872
P13601179,46.5,88.0,5.4,2.0,c3,3.0,1.0,0,?,1.0,A,,
P19664609,40.3,96.0,8.4,6.300000000000001,c3,5.0,0.0,1,Z-UTK,1.0,A,-0.0571573852998051,20.969548126094764
P16069503,39.900000000000006,89.0,,3.5,c2,2.0,0.0,1,Z-HDG,1.0,A,-1.596352767751033,
P57839012,51.5,63.0,-2.3000000000000003,-2.2,c2,1.0,1.0,0,Z-YXQ,1.0,A,-0.3631461726194397,33.553291259499076
P46363382,62.8,142.0,56.00000000000001,3.6,c2,2.0,1.0,0,Z-BKL,1.0,A,2.1893271773160485,46.21182130769391
P98115160,51.400000000000006,140.0,2.0,-1.2000000000000002,c4,3.0,1.0,0,Z-RCM,1.0,A,0.6791632627731896,33.43992452216094
P32058464,49.2,117.0,1.6,-0.9,c3,4.0,1.0,0,Z-NDN,,A,-0.5834412882474156,30.932255065011056
P25207121,52.400000000000006,91.0,4.4,2.3000000000000003,c1,3.0,0.0,1,Z-UNJ,1.0,A,-0.4089149684839075,
P86070248,60.6,138.0,-0.7000000000000001,-9.7,c2,3.0,0.0,0,Z-HGA,1.0,,-0.4860866763992121,43.75401567536142
P37187920,51.900000000000006,138.0,5.9,7.9,c1,3.0,0.0,0,?,1.0,A,-0.1839901956530862,33.974442512274706
P76762638,46.900000000000006,126.0,-0.7000000000000001,-0.8,c1,3.0,0.0,1,Z-MFG,1.0,A,1.296909306120314,28.301654922496365
P36072571,59.0,143.0,0.8,-3.5,c1,2.0,1.0,0,Z-DAZ,1.0,A,0.4904746508392047,
P59121458,53.6,63.0,1.4,2.1,c4,1.0,0.0,1,Z-AHC,1.0,A,-0.5434546883244329,35.85880794615452
p17313873,62.5,132.0,4.2,-0.1,c1,2.0,0.0,0,Z-ICU,1.0,A,-2.1691558300606375,45.82180392796393
P69532796,51.6,120.0,-0.5,-4.2,c5,2.0,1.0,1,Z-HTZ,1.0,A,1.6554385540465253,33.649109934997156
P92425886,40.400000000000006,112.0,-1.1,-1.0,c1,2.0,0.0,1,Z-QVD,1.0,B,1.110588945238958,20.979778714515497
,,96.0,2.2,6.4,c2,2.0,0.0,0,Z-XSP,1.0,A,-0.0444718749555208,19.686567206789015
P89104140,63.400000000000006,165.0,2.3000000000000003,1.6,c4,3.0,1.0,0,Z-IYM,1.0,A,0.3609873593219222,46.858351390081246
P80294934,64.0,74.0,3.8,-1.6,c1,3.0,0.0,1,Z-TQQ,1.0,A,-0.4008069067064335,47.512991487049675
P61022941,48.7,113.0,-2.6,-5.4,c4,2.0,1.0,1,Z-WOS,1.0,A,-0.6704609380703322,30.384327080456593
P93475233,47.1,108.0,2.0,3.8,c3,2.0,0.0,0,Z-ISH,1.0,A,2.442348962351784,
p53127080,61.900000000000006,144.0,5.300000000000001,4.800000000000001,c1,1.0,1.0,0,Z-BGZ,,A,,45.15299863017982
P23476165,41.3,127.0,-3.8,,c5,4.0,0.0,1,Z-VCV,1.0,A,-0.3002599710025414,22.036588861608607
P60016136,43.0,,4.5,4.0,c1,3.0,0.0,1,Z-DZH,1.0,A,0.4203693866802082,23.947456829397563
?,55.3,150.0,-0.4,1.3,c1,4.0,0.0,1,Z-YIW,1.0,A,0.5279820182137064,37.7899411522014
P25856647,47.0,117.0,4.5,10.9,c4,2.0,0.0,0,Z-ILV,,A,0.0400244055603825,28.448553894263693
P22925929,50.1,95.0,-0.2,-7.5,c1,1.0,1.0,0,Z-KDB,1.0,A,-0.2499416133027974,31.95390319951936
P69712277,48.900000000000006,74.0,-0.1,,c3,4.0,0.0,0,Z-IDT,1.0,A,0.3216077102496867,
P49881784,52.900000000000006,,-1.6,1.0,c1,1.0,0.0,1,Z-ZNX,1.0,A,-1.0914223738837645,35.0381709391904
P53308161,61.400000000000006,127.0,,14.8,c5,2.0,0.0,0,Z-VUC,1.0,A,-1.0968312413536905,44.66733675182345
P80765630,50.900000000000006,111.0,0.3,-5.5,c2,3.0,0.0,0,Z-VGZ,1.0,A,0.5956523622237586,32.81526416211571
P71681520,55.3,92.0,4.0,3.5,,4.0,0.0,1,Z-ASA,1.0,A,-0.7670382064820633,37.79544913949172
P90522801,33.7,89.0,3.8,2.4000000000000004,c5,,1.0,1,Z-GZU,1.0,A,0.7025116744687585,13.548451090720796
?,49.8,89.0,-3.5,-0.9,c3,4.0,1.0,1,Z-VRB,1.0,A,1.1288398533538713,
P78330533,43.400000000000006,122.0,0.3,0.7000000000000001,c3,3.0,0.0,0,?,1.0,A,1.4158004006139415,24.41092756736416
P58648518,40.400000000000006,130.0,31.0,2.6,c2,4.0,0.0,0,Z-ZJC,1.0,A,1.1621132874917568,21.03068245618735
P13186738,43.1,,5.800000000000001,6.800000000000001,c3,2.0,0.0,0,,1.0,A,,24.096628697641243
P16347133,47.5,98.0,4.6000000000000005,2.0,c1,3.0,0.0,1,Z-BHS,1.0,A,,
P42347086,57.5,139.0,65.0,1.9,c2,1.0,0.0,0,Z-IAH,1.0,,-0.0098851833124176,40.243122881204116
